,index,track_id,name,artists_names,artists_ids,artists_count,popularity,duration
1239,1239,148kcT4mcsKQX3B3RRmpNg,Let's Make Christmas Mean Something This Year,James Brown,7GaxyUddsPok8BuhxN6OUW,1,4,6.528883333333333
1240,1240,3L8iru20CW6UxDIjQqykn8,Diving,NTO,7ry8L53T4oJtSIogGYuioq,1,19,7.96125
1241,1241,0kTc2C6tQwyQymYJ2N73Hl,Bright Side - Axmod Remix,"Mozambo, Basic Tape, Julia Church","7p0BlEIc8u88hMrzTfWQhi, 6EzGm3fYBR8QcdIZ0xvHsl, 4dHGNdVhBxCJUyMk9dR727",3,24,4.535983333333333
1242,1242,7FytALdh9Dp8T8LyHNM2Ds,Crushed beat,Mfvgroup,40fgqZx6utPpyCKhXy5QmW,1,0,3.66875
1243,1243,0FxR849pNzuPnZfVJx9aTU,Fool Yourself,"Chase & Status, Plan B, Rage","3jNkaOXasoc7RsxdchvEVq, 7qlh1IM1XMeQXA9ukp59au, 5TJVsWPUaJxBxWfVZQEt2x",3,33,4.57
1244,1244,7kVHSaz3KQaCvh9I2tByxr,Superimposed,"Icicle, Sarah Hezen","7zoCV6yevWc39GUz2v1jqg, 3WdkqzJHIqtv9g2KCCYkjl",2,1,3.7143
1245,1245,4r1dYoIhKgtFh4eTZ9WQ1d,Come Alive - Radio Edit,Netsky,5TgQ66WuWkoQ2xYxaSTnVP,1,26,3.0342
1246,1246,6gAqnBM7MUFEgfqWftTnwC,Break It Down,R2M,1R1n1UZE1ld5zGQHl3sAG6,1,1,5.317066666666666
1247,1247,5c4tB0saSkNHX5CyDosuF7,Tuesday,"Burak Yeter, Danelle Sandoval","4ON1ruy5ijE7ZPQthbrkgI, 7Dz9goFmVZZqvJxZoKg7pF",2,38,4.031233333333334
1248,1248,13GYsCcMrJQi2uU8JVowtl,Can't Say No,"Ivy Lab, Roses Gabor","3VXCvo9Sr0hbZ4mk6VOKBs, 2gcdX1NqiPU2F4QxSlBo7r",2,27,3.79235
1249,1249,2takcwOaAZWiXQijPHIx7B,Time is Running Out,Muse,12Chz98pHFMPJEknJQMWvI,1,68,3.95065
1250,1250,38pNnyQFOzCpLN9gsKAqGj,A Change at Christmas (Say It Isn't So),The Flaming Lips,16eRpMNXSQ15wuJoeqguaB,1,11,5.352216666666667
1251,1251,1rpBhDKKyeyog3m1AQIxrJ,Christmas Treat,Julian Casablancas,1rAv1GhTQ2rmG94p9lU3rB,1,22,3.1911
1252,1252,6sBWmE23q6xQHlnEZ8jYPT,Step Into Christmas,Elton John,3PhoLpVuITZKcymswpck5b,1,44,4.539883333333333
1253,1253,2zgoDo4LYBCnADtZ708p8q,Ribbons And Bows,Kacey Musgraves,70kkdajctXSbqSMJbQO424,1,24,3.4728833333333333
1254,1254,6ObU4Esyxu02NjKnjuGiwp,I Saw You,"Black Sun Empire, HEZEN","3PAXvY08KxX5HmCsmKw4x8, 6NRtJHCVFkNJv8xTEN7AB6",2,38,4.421433333333334
1255,1255,3XjV17xwtlqjC7FouLYkD2,Steel Yourself,Adam Fielding,2COKeWJbqMc39mh0sFwnvE,1,0,2.4444333333333335
1256,1256,4vuJuTLFomqItDrn482nzV,Move,Saint Motel,1dWEYMPtNmvSVaDNLgB6NV,1,55,3.13155
1257,1257,1oVfmklPMMw8pJwHjhcCTV,Diamond,Klint,0nDvYh8wwlvnnXJ3n8P3SQ,1,39,3.23815
1258,1258,48n92l7OnLEURhalUBtsl7,We Can Make The World Stop,The Glitch Mob,3a9qv6NLHnsVxJUtKOMHvD,1,52,5.4318
1259,1259,3fXtfTHCEnbxG7DhM9k6ck,Hold Your Breath,Etherwood,3GEUIa3Z0Qlivy3EcJm5RX,1,30,6.761
1260,1260,52UFPPFMnUzaWfiU8oYgpw,If I Could (feat. Joe Killington),"Camo & Krooked, Joe Killington","2N8IPNZTiNo3nj4mreOlHU, 0QvtEuDIDAsKpfuOe2a237",2,39,3.8532333333333333
1261,1261,6Dg2RJihNlbkLSmtXY3p5f,Warm on a Cold Night,HONNE,0Vw76uk7P8yVtTClWyOhac,1,53,4.3599
1262,1262,4ZJvNeYds0BwDrXWmcqKaS,Evening Star,Cannons,7FtCyCJCJaxabYO7Uyda5B,1,49,4.103083333333333
1263,1263,3cSzDV1drneGszFc6KwwQS,In the Morning Light - Radio Mix,Alex Schulz,5OReTeTBZ578sj07hDS0x7,1,47,3.2951
1264,1264,4ugW3mfHisneMpF9q6s3lw,DJ's In A Row - Radio Edit,Schwab,5TsTAKINhG8fPW6y1LKUcB,1,41,3.3716833333333334
1265,1265,7hfgzxvcd8mKImN7Goast8,Deeper,Saint Cava,5jHcWYiZoV18ALtgTjirLW,1,35,3.2671666666666668
1266,1266,5st1g4ks34bcjty73rWzJ3,That's That,Herbal T,14Re45nZLhVUv0Jl6RyAmf,1,36,3.4791666666666665
1267,1267,2Wh4JbdpIl3T3PfY8ix3tm,Откуда мне знать тебя,GROT,6X3N6AIX6d8hH0EcZkhzVR,1,14,3.8855666666666666
1268,1268,2qCa2i18rvipFdjBECsFvP,Обитатели рая,GROT,6X3N6AIX6d8hH0EcZkhzVR,1,32,4.399216666666667
1269,1269,7Hqhc4lII1Whwu9JCNeUF0,White Flag VIP,Delta Heavy,7GvVTb8yFV0ZrdI30Qce6T,1,44,4.525733333333333
1270,1270,2ffVdgR2RUHIaENDIrlVvG,Clubbed to Death (The Matrix),Robert D.,0jXXXUhL8qWQWk9lXXDDyC,1,52,4.068433333333333
1271,1271,2Wh4JbdpIl3T3PfY8ix3tm,Откуда мне знать тебя,GROT,6X3N6AIX6d8hH0EcZkhzVR,1,14,3.8855666666666666
1272,1272,3fXDFWMG5Qb0y7orJV2Ab5,Dans la sono,Beat De Boul,1hGAhpt0upsyqxB33Cxwz0,1,20,3.703333333333333
1273,1273,6Qm7amP8b2hBwuvjMIhCy0,Gloomy Sunday,The Toxic Avenger,5zExRf0VQCl3GO4Jrj8r0s,1,42,4.92755
1274,1274,1TT6gRprLQ5vSWgoWpyKfR,The Son of Flynn - Remixed by Ki:Theory,"Daft Punk, Ki:Theory","4tZwfgrHOc3mvqYlEYSvVi, 1mB4aweE1XGdjbFVFC8i5m",2,36,4.858433333333333
1275,1275,2hfyqTrTVS0FlFvx66NCS3,Pas sur la bouche,The Toxic Avenger,5zExRf0VQCl3GO4Jrj8r0s,1,22,4.648666666666666
1276,1276,0psh32y9RmsUiwRbyVkpdG,Fishing the Stars - Original Mix,Moonlift,78fgVKTFR2q7WBcncpK6jl,1,0,5.920433333333333
1277,1277,6y5lRDmndLPNW6xEZpDiP9,Tylium - Original,James Zabiela,15mGoF7xgIMiIasAgrrQPs,1,2,8.002216666666667
1278,1278,5Mo8FavkMKoBR87pUGW9v3,Звёздная колыбельная,Elysium,3zO2ODcb95Y96n0Gl1bzHt,1,1,3.5799
1279,1279,4ja4D4qcwGC5Zg1IwDWsIL,Angel Echoes,Four Tet,7Eu1txygG6nJttLHbZdQOh,1,38,3.9905333333333335
