,artist,name,pop,genres,followers
499,3xd2W65sJSGXvumvLCJQcs,DJ Long Nhat,28,viet remix,5398
500,2qk9voo8llSGYcZ6xrBzKx,Kings of Leon,73,"modern rock,rock",5053338
501,3JC5wZYLLWOWavmvGB94ow,[AMATORY],34,"russian metal,russian metalcore,russian nu metal,russian rock",102433
502,5MDI623Xjab5igAZSsazoS,Jade,24,neurofunk,4432
503,5wJK4kQAkVGjqM9x46KQOC,Solomun,58,"german techno,hamburg electronic,melodic techno,microhouse,minimal techno,tech house",781347
504,3sa5sqxJqYjDZhGxmo4Ko5,Lifelike,41,"filter house,nu disco",28592
505,41vv2Tj1knysv6MuFUmdwi,Thomas Bangalter,25,filter house,20706
506,1oBQPdm35NiPSEWIx8Yl24,Wolfram,28,classic schlager,8671
507,1gkSl4XpHIHI4I1WQbfXOE,Peaches,46,"alternative dance,art pop,dance-punk,electroclash,escape room,new rave",220749
508,5zbQoW1WWTzvITE8w4ckoC,Rex The Dog,28,electrofox,22585
509,1Y53ZUhXBydAzILo4Qa0s1,Manizha,37,"russian alt pop,russian synthpop",89640
510,1zcTcHOp1uK94S5DZsMsM8,Chernoburkv,36,russian witch house,24130
511,1yFpsOVveSBWpYwW7HvUNo,S.Samo,10,,393
512,6HabM2PUM519iIxervGWSb,Prospa,48,"house,uk house",30500
513,1qgm9fSb4hCM7fi4qRXyPM,Grotesque,19,swedish death metal,2194
514,0yT3dmX9Tx17tiqPg30ivR,Denis Plotnikov,0,,4
515,5T4UKHhr4HGIC0VzdZQtAE,Faithless,59,"big beat,downtempo,electronica,trip hop",574118
516,7EBbMrJpvd3qQVxQxskCfI,Caleb Femi,35,,841
517,5a1CkvrJSjRH8ZzWTMRsCd,Nathan Ball,46,"indie anthem-folk,indie folk",30312
518,43L8LbXMoCPOD7BvHYfrEt,2H Company,12,russian underground rap,9703
519,5YGGJYw7bkFNf47ALxcWAV,K-Effect,3,,463
520,4a9sClW4YpYQE5jUMAWx5W,Watermät,44,"progressive house,tropical house",57971
521,10gzBoINW3cLJfZUka8Zoe,Above & Beyond,62,"edm,pop dance,progressive house,progressive trance,trance,uplifting trance",723956
522,3dWyWwLvZWsWtXZHhmAiFL,Zoë Johnston,46,vocal trance,10026
523,245cfTGLRjFApGjsOe1hLL,Steaming Satellites,40,"salzburg indie,vienna indie",23255
524,2O4zaefOvhGmYHo70MBj4P,Dahu,15,organic electronic,3821
525,1tf23w0XfVu28n9arb8wX4,Nick Devon,22,"deep techno,greek techno",5989
526,0lb2rTnraDJ3LydN6nvW89,Kasúal,10,,74
527,0RH291ZksP9Xbs7Rot1EvS,Rasmus Juul,3,,35
528,0r0m8up7CjS8TJodH2HX7C,Solee,41,"deep euro house,melodic techno,minimal techno,organic house,tech house",68303
529,6X3QjCYg5HcTwO5FPVQj0J,Enei,37,"drum and bass,liquid funk,neurofunk,russian dnb",35106
530,2gukIciTd2qucMSGx6gSy6,Grinder,3,,373
531,6r2jFoPfqDkcIFa0WlQTg6,Lowriderz,30,belgian edm,5512
532,5MO2kbaGGA2a8kL4c9qqHq,Paul Oakenfold,52,"big beat,trance",181778
533,7cg61q8kK8jlFi8TKKw70p,Afrika Bambaataa,42,"bronx hip hop,east coast hip hop,electro,gangster rap,hip hop,hip house,old school hip hop",119387
534,4J8cVSLFJ4T4ReYLtehLj0,Afrika Bambaataa & The Soulsonic Force,16,"bronx hip hop,old school hip hop",8542
535,0CxPpuwJOVsx0lf7nfr54B,roseboi,47,drift phonk,8214
536,2K30tfm9DyDVeW7n3eXGza,Save Haku,31,,1272
537,5AA1Gttv4r0eEkRFrwifJ3,sprnova,11,,331
538,2olv8m3Anotn9W5UZJkJCi,Marcellus (UK),23,,1663
539,7aADBYuRxT4V57iwqzUiPP,Beneath My Shade,28,"russian witch house,witch house",2980
540,4eujb0S8BP4Oy9suTA04mE,Gydra,36,"neurofunk,russian dnb",27771
541,1kq2ZvBA7AX9mdZTk9SkpU,Jamie Irrepressible,46,,2846
542,5sJBSH1OkwBwvWTVsLuyqn,Ed Cox,7,,1484
543,2rfBQIESQIvwqdW4q2poIz,Неба жители,5,russian dnb,451
544,4zjcC8ljp8uV3hjoEuzZK8,3'0'3 Project,0,,67
545,240wlM8vDrf6S4zCyzGj2W,CamelPhat,63,"deep tech house,edm,house,progressive house,tropical house",302897
546,6CFQDzNLNcuK5lVZ766Yxt,Yannis,37,,2080
547,5fasubnSIOTRYlIZA17ong,Ann Clue,43,"high-tech minimal,minimal techno",44772
548,6FXMGgJwohJLUSr5nVlf9X,Massive Attack,62,"big beat,downtempo,electronica,trip hop",1911103
549,6JGLndnzrQrIFkd8NFha3C,Dusty Kid,41,"minimal techno,tech house",81068
550,0Ldjd0Z66CJ0rChWXx0jzB,Billx,51,"frenchcore,raggatek,tekk,tekno",71846
551,4RbUYWWjEBb4umwqakOEd3,Dr. Peacock,61,"frenchcore,tekk,uptempo hardcore",283590
552,1k7iyyK6j5IJzF0cUMcaGY,Space Motion,44,serbian electronic,21472
553,11jBSslmTEkEGXxpFfy91F,MOTVS,41,,4594
554,2fwn3zMuclydNxRzPZPCbB,Mario Basanov,29,lithuanian electronic,12583
