,track_id,name,n_genres,genre
2321,4EKoQgTaZbxt1u79JuCTu9,Through the Pain - Uppermost,2,electro house
2322,7pOr4jPISq1ciP4KzZCyOr,"Hours - Radio Edit - Son of Kick, Lady Leshurr, Paigey Cakey",5,grime
2323,7pOr4jPISq1ciP4KzZCyOr,"Hours - Radio Edit - Son of Kick, Lady Leshurr, Paigey Cakey",5,birmingham hip hop
2324,7pOr4jPISq1ciP4KzZCyOr,"Hours - Radio Edit - Son of Kick, Lady Leshurr, Paigey Cakey",5,afroswing
2325,7pOr4jPISq1ciP4KzZCyOr,"Hours - Radio Edit - Son of Kick, Lady Leshurr, Paigey Cakey",5,london rap
2326,7pOr4jPISq1ciP4KzZCyOr,"Hours - Radio Edit - Son of Kick, Lady Leshurr, Paigey Cakey",5,trap queen
2327,62jtFxCqwBcvHEt7Qchw4O,"You Came to Party - Too $hort, Meter Mobb",9,hyphy
2328,62jtFxCqwBcvHEt7Qchw4O,"You Came to Party - Too $hort, Meter Mobb",9,southern hip hop
2329,62jtFxCqwBcvHEt7Qchw4O,"You Came to Party - Too $hort, Meter Mobb",9,oakland hip hop
2330,62jtFxCqwBcvHEt7Qchw4O,"You Came to Party - Too $hort, Meter Mobb",9,hip hop
2331,62jtFxCqwBcvHEt7Qchw4O,"You Came to Party - Too $hort, Meter Mobb",9,gangster rap
2332,62jtFxCqwBcvHEt7Qchw4O,"You Came to Party - Too $hort, Meter Mobb",9,cali rap
2333,62jtFxCqwBcvHEt7Qchw4O,"You Came to Party - Too $hort, Meter Mobb",9,west coast rap
2334,62jtFxCqwBcvHEt7Qchw4O,"You Came to Party - Too $hort, Meter Mobb",9,rap
2335,62jtFxCqwBcvHEt7Qchw4O,"You Came to Party - Too $hort, Meter Mobb",9,golden age hip hop
2336,1goTiiRtaNdwiGOsSIgBA4,Baby - DakhaBrakha,4,ukrainian folk rock
2337,1goTiiRtaNdwiGOsSIgBA4,Baby - DakhaBrakha,4,ukrainian experimental
2338,1goTiiRtaNdwiGOsSIgBA4,Baby - DakhaBrakha,4,ukrainian indie
2339,1goTiiRtaNdwiGOsSIgBA4,Baby - DakhaBrakha,4,ukrainian folk
2340,53i0NQW6ytb5gPheBhRKZA,Welcome to Night City - Head Splitter,1,dark clubbing
2341,43DBhwmvfhWTQwBRmJsafC,My Name is Dark - Art Mix - Grimes,7,grave wave
2342,43DBhwmvfhWTQwBRmJsafC,My Name is Dark - Art Mix - Grimes,7,canadian electropop
2343,43DBhwmvfhWTQwBRmJsafC,My Name is Dark - Art Mix - Grimes,7,pop
