,index,track_id,name,artists_names,artists_ids,artists_count,popularity,duration,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
813,800,13XNDBOZetjG3P0flDLsM4,Too Late,Major Look,6qhCyOV0SGO0E140bupXXq,1,42,4.171883333333334,0.307,0.924,5,-5.021,1,0.0605,0.00504,0.000196,0.729,0.314,175.136,audio_features,13XNDBOZetjG3P0flDLsM4,spotify:track:13XNDBOZetjG3P0flDLsM4,https://api.spotify.com/v1/tracks/13XNDBOZetjG3P0flDLsM4,https://api.spotify.com/v1/audio-analysis/13XNDBOZetjG3P0flDLsM4,250313,4
814,801,41xS6VcQvRQiCLOEUpCFWf,line,Izzamuzzic,5EiDVD35ofoSKq1KE0jcs8,1,34,3.7820833333333335,0.588,0.592,6,-10.712,0,0.0792,0.353,0.89,0.123,0.141,128.072,audio_features,41xS6VcQvRQiCLOEUpCFWf,spotify:track:41xS6VcQvRQiCLOEUpCFWf,https://api.spotify.com/v1/tracks/41xS6VcQvRQiCLOEUpCFWf,https://api.spotify.com/v1/audio-analysis/41xS6VcQvRQiCLOEUpCFWf,226926,4
815,802,4h04HOkCsIPfFu1uwwjQWU,Silent Spring,Massive Attack,6FXMGgJwohJLUSr5nVlf9X,1,41,3.124216666666667,0.62,0.361,1,-12.106,0,0.0999,0.00306,0.372,0.088,0.396,81.996,audio_features,4h04HOkCsIPfFu1uwwjQWU,spotify:track:4h04HOkCsIPfFu1uwwjQWU,https://api.spotify.com/v1/tracks/4h04HOkCsIPfFu1uwwjQWU,https://api.spotify.com/v1/audio-analysis/4h04HOkCsIPfFu1uwwjQWU,187453,4
816,803,6fmmZv0JjxdielVOPjw9OJ,Hurt My Heart,White Lies,6ssXMmc5EOUrauZxirM910,1,45,4.248633333333333,0.476,0.962,0,-3.947,0,0.0726,0.00128,8.77e-06,0.0663,0.379,91.99,audio_features,6fmmZv0JjxdielVOPjw9OJ,spotify:track:6fmmZv0JjxdielVOPjw9OJ,https://api.spotify.com/v1/tracks/6fmmZv0JjxdielVOPjw9OJ,https://api.spotify.com/v1/audio-analysis/6fmmZv0JjxdielVOPjw9OJ,254919,4
817,804,79hGpLouwH0l1gVaJ6e6ER,Синяя река,FolkBeat,4CU795ZKZ6Vn5GvkXrbxy9,1,37,2.9387666666666665,0.607,0.753,6,-6.047,0,0.0419,0.0038,0.0,0.112,0.175,97.936,audio_features,79hGpLouwH0l1gVaJ6e6ER,spotify:track:79hGpLouwH0l1gVaJ6e6ER,https://api.spotify.com/v1/tracks/79hGpLouwH0l1gVaJ6e6ER,https://api.spotify.com/v1/audio-analysis/79hGpLouwH0l1gVaJ6e6ER,176327,4
818,805,4EKoQgTaZbxt1u79JuCTu9,Through the Pain,Uppermost,58UpHBCQ1Jj67DJsR7Qyqg,1,16,3.60325,0.487,0.757,0,-9.242,0,0.0443,0.0144,0.912,0.107,0.217,79.941,audio_features,4EKoQgTaZbxt1u79JuCTu9,spotify:track:4EKoQgTaZbxt1u79JuCTu9,https://api.spotify.com/v1/tracks/4EKoQgTaZbxt1u79JuCTu9,https://api.spotify.com/v1/audio-analysis/4EKoQgTaZbxt1u79JuCTu9,216195,4
819,806,5Rfyf25yXwJPX4NdqLMMHa,Resolution for Solitude,Kiko King & creativemaze,7ogaExdzNmo6TWvE91MxEo,1,39,3.69505,0.653,0.657,7,-11.978,1,0.059,0.0898,0.000457,0.119,0.0825,119.992,audio_features,5Rfyf25yXwJPX4NdqLMMHa,spotify:track:5Rfyf25yXwJPX4NdqLMMHa,https://api.spotify.com/v1/tracks/5Rfyf25yXwJPX4NdqLMMHa,https://api.spotify.com/v1/audio-analysis/5Rfyf25yXwJPX4NdqLMMHa,221704,4
820,807,7pOr4jPISq1ciP4KzZCyOr,Hours - Radio Edit,"Son of Kick, Lady Leshurr, Paigey Cakey","2W0pxYl0crCTJn0xKwvY73, 1Bk2KyFVMN5PeyVyDIiLqF, 1Lfz8ISr2g1d33hirTmajR",3,17,3.4208333333333334,0.577,0.901,1,-3.639,0,0.212,0.019,0.337,0.311,0.0757,137.796,audio_features,7pOr4jPISq1ciP4KzZCyOr,spotify:track:7pOr4jPISq1ciP4KzZCyOr,https://api.spotify.com/v1/tracks/7pOr4jPISq1ciP4KzZCyOr,https://api.spotify.com/v1/audio-analysis/7pOr4jPISq1ciP4KzZCyOr,205250,4
821,808,62jtFxCqwBcvHEt7Qchw4O,You Came to Party,"Too $hort, Meter Mobb","4sb7rZNN93BSS6Gqgepo4v, 46BNHwKFXtqbecdsfVbIU6",2,37,3.8917166666666665,0.871,0.628,1,-5.513,1,0.0622,0.456,0.0,0.124,0.767,115.009,audio_features,62jtFxCqwBcvHEt7Qchw4O,spotify:track:62jtFxCqwBcvHEt7Qchw4O,https://api.spotify.com/v1/tracks/62jtFxCqwBcvHEt7Qchw4O,https://api.spotify.com/v1/audio-analysis/62jtFxCqwBcvHEt7Qchw4O,233504,4
822,809,1goTiiRtaNdwiGOsSIgBA4,Baby,DakhaBrakha,5hQYZqZaPcRceL82mFZTO5,1,48,7.394,0.376,0.436,7,-7.682,1,0.0317,0.575,0.00302,0.105,0.407,130.065,audio_features,1goTiiRtaNdwiGOsSIgBA4,spotify:track:1goTiiRtaNdwiGOsSIgBA4,https://api.spotify.com/v1/tracks/1goTiiRtaNdwiGOsSIgBA4,https://api.spotify.com/v1/audio-analysis/1goTiiRtaNdwiGOsSIgBA4,443640,4
